n:76 mse_avg:55.07 mse_y:80.75 mse_u:4.67 mse_v:2.73 psnr_avg:30.72 psnr_y:29.06 psnr_u:41.44 psnr_v:43.77 
n:77 mse_avg:63.60 mse_y:93.45 mse_u:4.94 mse_v:2.87 psnr_avg:30.10 psnr_y:28.43 psnr_u:41.20 psnr_v:43.55 
n:78 mse_avg:66.44 mse_y:97.62 mse_u:5.15 mse_v:3.03 psnr_avg:29.91 psnr_y:28.24 psnr_u:41.01 psnr_v:43.32 
n:79 mse_avg:67.37 mse_y:98.94 mse_u:5.37 mse_v:3.07 psnr_avg:29.85 psnr_y:28.18 psnr_u:40.83 psnr_v:43.25 
n:80 mse_avg:66.35 mse_y:97.34 mse_u:5.57 mse_v:3.18 psnr_avg:29.91 psnr_y:28.25 psnr_u:40.68 psnr_v:43.11 
n:81 mse_avg:65.97 mse_y:96.78 mse_u:5.54 mse_v:3.17 psnr_avg:29.94 psnr_y:28.27 psnr_u:40.70 psnr_v:43.12 
n:82 mse_avg:66.28 mse_y:97.21 mse_u:5.58 mse_v:3.25 psnr_avg:29.92 psnr_y:28.25 psnr_u:40.67 psnr_v:43.02 
n:83 mse_avg:64.69 mse_y:94.87 mse_u:5.59 mse_v:3.10 psnr_avg:30.02 psnr_y:28.36 psnr_u:40.65 psnr_v:43.22 
n:84 mse_avg:65.56 mse_y:96.21 mse_u:5.42 mse_v:3.14 psnr_avg:29.96 psnr_y:28.30 psnr_u:40.79 psnr_v:43.17 
n:85 mse_avg:63.39 mse_y:92.96 mse_u:5.43 mse_v:3.09 psnr_avg:30.11 psnr_y:28.45 psnr_u:40.78 psnr_v:43.23 
n:86 mse_avg:62.47 mse_y:91.64 mse_u:5.26 mse_v:3.02 psnr_avg:30.17 psnr_y:28.51 psnr_u:40.92 psnr_v:43.34 
n:87 mse_avg:63.44 mse_y:93.09 mse_u:5.26 mse_v:3.00 psnr_avg:30.11 psnr_y:28.44 psnr_u:40.92 psnr_v:43.36 
n:88 mse_avg:70.47 mse_y:103.50 mse_u:5.63 mse_v:3.21 psnr_avg:29.65 psnr_y:27.98 psnr_u:40.62 psnr_v:43.07 
n:89 mse_avg:69.17 mse_y:101.54 mse_u:5.60 mse_v:3.26 psnr_avg:29.73 psnr_y:28.06 psnr_u:40.65 psnr_v:42.99 
n:90 mse_avg:68.85 mse_y:101.01 mse_u:5.81 mse_v:3.28 psnr_avg:29.75 psnr_y:28.09 psnr_u:40.49 psnr_v:42.97 
n:91 mse_avg:66.53 mse_y:97.58 mse_u:5.52 mse_v:3.33 psnr_avg:29.90 psnr_y:28.24 psnr_u:40.71 psnr_v:42.90 
n:92 mse_avg:65.68 mse_y:96.31 mse_u:5.63 mse_v:3.25 psnr_avg:29.96 psnr_y:28.29 psnr_u:40.62 psnr_v:43.02 
n:93 mse_avg:64.54 mse_y:94.63 mse_u:5.44 mse_v:3.27 psnr_avg:30.03 psnr_y:28.37 psnr_u:40.77 psnr_v:42.99 
n:94 mse_avg:63.66 mse_y:93.30 mse_u:5.53 mse_v:3.22 psnr_avg:30.09 psnr_y:28.43 psnr_u:40.70 psnr_v:43.05 
n:95 mse_avg:64.06 mse_y:93.89 mse_u:5.57 mse_v:3.24 psnr_avg:30.06 psnr_y:28.40 psnr_u:40.67 psnr_v:43.03 
n:96 mse_avg:63.56 mse_y:93.16 mse_u:5.55 mse_v:3.21 psnr_avg:30.10 psnr_y:28.44 psnr_u:40.68 psnr_v:43.07 
n:97 mse_avg:63.89 mse_y:93.63 mse_u:5.61 mse_v:3.21 psnr_avg:30.08 psnr_y:28.42 psnr_u:40.64 psnr_v:43.07 
n:98 mse_avg:65.62 mse_y:96.23 mse_u:5.58 mse_v:3.24 psnr_avg:29.96 psnr_y:28.30 psnr_u:40.66 psnr_v:43.03 
n:99 mse_avg:65.31 mse_y:95.74 mse_u:5.61 mse_v:3.25 psnr_avg:29.98 psnr_y:28.32 psnr_u:40.64 psnr_v:43.01 
n:100 mse_avg:62.91 mse_y:92.17 mse_u:5.61 mse_v:3.16 psnr_avg:30.14 psnr_y:28.48 psnr_u:40.64 psnr_v:43.14 
n:101 mse_avg:56.83 mse_y:83.34 mse_u:4.80 mse_v:2.83 psnr_avg:30.59 psnr_y:28.92 psnr_u:41.31 psnr_v:43.62 
n:102 mse_avg:62.31 mse_y:91.49 mse_u:5.01 mse_v:2.89 psnr_avg:30.19 psnr_y:28.52 psnr_u:41.13 psnr_v:43.53 
n:103 mse_avg:65.47 mse_y:96.15 mse_u:5.22 mse_v:3.00 psnr_avg:29.97 psnr_y:28.30 psnr_u:40.96 psnr_v:43.36 
n:104 mse_avg:63.91 mse_y:93.82 mse_u:5.27 mse_v:2.92 psnr_avg:30.08 psnr_y:28.41 psnr_u:40.91 psnr_v:43.47 
n:105 mse_avg:62.89 mse_y:92.31 mse_u:5.14 mse_v:2.95 psnr_avg:30.14 psnr_y:28.48 psnr_u:41.02 psnr_v:43.44 
n:106 mse_avg:66.17 mse_y:97.17 mse_u:5.31 mse_v:3.04 psnr_avg:29.92 psnr_y:28.26 psnr_u:40.88 psnr_v:43.30 
n:107 mse_avg:62.74 mse_y:92.08 mse_u:5.13 mse_v:3.01 psnr_avg:30.16 psnr_y:28.49 psnr_u:41.03 psnr_v:43.35 
n:108 mse_avg:64.28 mse_y:94.34 mse_u:5.23 mse_v:3.06 psnr_avg:30.05 psnr_y:28.38 psnr_u:40.94 psnr_v:43.28 
n:109 mse_avg:64.83 mse_y:95.11 mse_u:5.38 mse_v:3.16 psnr_avg:30.01 psnr_y:28.35 psnr_u:40.82 psnr_v:43.13 
n:110 mse_avg:61.63 mse_y:90.38 mse_u:5.29 mse_v:2.98 psnr_avg:30.23 psnr_y:28.57 psnr_u:40.89 psnr_v:43.39 
n:111 mse_avg:61.71 mse_y:90.48 mse_u:5.34 mse_v:2.97 psnr_avg:30.23 psnr_y:28.57 psnr_u:40.85 psnr_v:43.40 
n:112 mse_avg:60.45 mse_y:88.64 mse_u:5.22 mse_v:2.92 psnr_avg:30.32 psnr_y:28.65 psnr_u:40.95 psnr_v:43.48 
n:113 mse_avg:61.70 mse_y:90.58 mse_u:5.05 mse_v:2.84 psnr_avg:30.23 psnr_y:28.56 psnr_u:41.09 psnr_v:43.60 
n:114 mse_avg:63.39 mse_y:93.09 mse_u:5.11 mse_v:2.88 psnr_avg:30.11 psnr_y:28.44 psnr_u:41.04 psnr_v:43.53 
n:115 mse_avg:62.61 mse_y:91.93 mse_u:5.07 mse_v:2.89 psnr_avg:30.16 psnr_y:28.50 psnr_u:41.08 psnr_v:43.53 
n:116 mse_avg:62.02 mse_y:90.98 mse_u:5.24 mse_v:2.94 psnr_avg:30.21 psnr_y:28.54 psnr_u:40.94 psnr_v:43.45 
n:117 mse_avg:62.71 mse_y:92.05 mse_u:5.19 mse_v:2.88 psnr_avg:30.16 psnr_y:28.49 psnr_u:40.98 psnr_v:43.54 
n:118 mse_avg:63.53 mse_y:93.26 mse_u:5.26 mse_v:2.87 psnr_avg:30.10 psnr_y:28.43 psnr_u:40.92 psnr_v:43.55 
n:119 mse_avg:60.60 mse_y:88.84 mse_u:5.35 mse_v:2.91 psnr_avg:30.31 psnr_y:28.64 psnr_u:40.84 psnr_v:43.49 
n:120 mse_avg:61.19 mse_y:89.73 mse_u:5.29 mse_v:2.97 psnr_avg:30.26 psnr_y:28.60 psnr_u:40.90 psnr_v:43.40 
n:121 mse_avg:62.27 mse_y:91.36 mse_u:5.22 mse_v:3.00 psnr_avg:30.19 psnr_y:28.52 psnr_u:40.95 psnr_v:43.35 
n:122 mse_avg:62.62 mse_y:91.90 mse_u:5.13 mse_v:3.00 psnr_avg:30.16 psnr_y:28.50 psnr_u:41.03 psnr_v:43.36 
n:123 mse_avg:61.12 mse_y:89.71 mse_u:4.95 mse_v:2.94 psnr_avg:30.27 psnr_y:28.60 psnr_u:41.19 psnr_v:43.44 
n:124 mse_avg:61.48 mse_y:90.23 mse_u:5.04 mse_v:2.94 psnr_avg:30.24 psnr_y:28.58 psnr_u:41.11 psnr_v:43.44 
n:125 mse_avg:64.03 mse_y:94.03 mse_u:5.06 mse_v:2.99 psnr_avg:30.07 psnr_y:28.40 psnr_u:41.09 psnr_v:43.38 
n:126 mse_avg:55.92 mse_y:82.11 mse_u:4.49 mse_v:2.60 psnr_avg:30.66 psnr_y:28.99 psnr_u:41.61 psnr_v:43.98 
n:127 mse_avg:59.42 mse_y:87.31 mse_u:4.57 mse_v:2.67 psnr_avg:30.39 psnr_y:28.72 psnr_u:41.53 psnr_v:43.86 
n:128 mse_avg:59.53 mse_y:87.46 mse_u:4.67 mse_v:2.66 psnr_avg:30.38 psnr_y:28.71 psnr_u:41.44 psnr_v:43.88 
n:129 mse_avg:59.26 mse_y:87.06 mse_u:4.67 mse_v:2.66 psnr_avg:30.40 psnr_y:28.73 psnr_u:41.44 psnr_v:43.88 
